Cuisine,Category,Food_Name
American,Dessert,Apple Pie
American,Dessert,Banana Bread
American,Dessert,Banana Split
American,Dessert,Bread Pudding
American,Dessert,Brownie
American,Dessert,Carrot Cake
American,Dessert,Chocolate Chip Cookie
American,Dessert,Chocolate Mousse
American,Dessert,Cupcake
American,Dessert,Donut
American,Dessert,Ice Cream Sundae
American,Dessert,Key Lime Pie
American,Dessert,Lemon Meringue Pie
American,Dessert,Milkshake
American,Dessert,New York Cheesecake
American,Dessert,Peanut Butter Pie
American,Dessert,Pecan Pie
American,Dessert,Pumpkin Pie
American,Dessert,Red Velvet Cake
American,Fast Food,BLT Sandwich
American,Fast Food,Bacon Burger
American,Fast Food,Buffalo Wings
American,Fast Food,Cheeseburger
American,Fast Food,Chicken Burger
American,Fast Food,Chicken Nuggets
American,Fast Food,Chicken Sandwich
American,Fast Food,Chicken Tenders
American,Fast Food,Chili Dog
American,Fast Food,Clam Chowder
American,Fast Food,Club Sandwich
American,Fast Food,Corn Dog
American,Fast Food,Curly Fries
American,Fast Food,Double Burger
American,Fast Food,French Fries
American,Fast Food,Grilled Cheese Sandwich
American,Fast Food,Hamburger
American,Fast Food,Hot Dog
American,Fast Food,Loaded Fries
American,Fast Food,Mac and Cheese
American,Fast Food,Mozzarella Sticks
American,Fast Food,Onion Rings
American,Fast Food,Philly Cheesesteak
American,Fast Food,Pulled Pork Sandwich
American,Fast Food,Reuben Sandwich
American,Fast Food,Sliders
American,Fast Food,Tater Tots
American,Fast Food,Tuna Melt
American,Fast Food,Turkey Burger
American,Fast Food,Veggie Burger
Bakery,Bakery & Dessert,Almond Croissant
Bakery,Bakery & Dessert,Apple Danish
Bakery,Bakery & Dessert,Bagel
Bakery,Bakery & Dessert,Baguette
Bakery,Bakery & Dessert,Banana Bread
Bakery,Bakery & Dessert,Banana Muffin
Bakery,Bakery & Dessert,Black Forest Cake
Bakery,Bakery & Dessert,Blondie
Bakery,Bakery & Dessert,Blueberry Muffin
Bakery,Bakery & Dessert,Bran Muffin
Bakery,Bakery & Dessert,Brioche
Bakery,Bakery & Dessert,Brownie
Bakery,Bakery & Dessert,Butter Croissant
Bakery,Bakery & Dessert,Carrot Cake
Bakery,Bakery & Dessert,Cheesecake
Bakery,Bakery & Dessert,Chocolate Cake
Bakery,Bakery & Dessert,Chocolate Croissant
Bakery,Bakery & Dessert,Chocolate Cupcake
Bakery,Bakery & Dessert,Chocolate Donut
Bakery,Bakery & Dessert,Chocolate Muffin
Bakery,Bakery & Dessert,Chocolate Tart
Bakery,Bakery & Dessert,Cinnamon Roll
Bakery,Bakery & Dessert,Coffee Cake
Bakery,Bakery & Dessert,Croissant
Bakery,Bakery & Dessert,Cupcake
Bakery,Bakery & Dessert,Danish Pastry
Bakery,Bakery & Dessert,Donut
Bakery,Bakery & Dessert,Focaccia
Bakery,Bakery & Dessert,Fruit Cake
Bakery,Bakery & Dessert,Fruit Tart
Bakery,Bakery & Dessert,Garlic Bread
Bakery,Bakery & Dessert,Glazed Donut
Bakery,Bakery & Dessert,Jelly Donut
Bakery,Bakery & Dessert,Lemon Tart
Bakery,Bakery & Dessert,Muffin
Bakery,Bakery & Dessert,Pain au Chocolat
Bakery,Bakery & Dessert,Pineapple Cake
Bakery,Bakery & Dessert,Plum Cake
Bakery,Bakery & Dessert,Pretzel
Bakery,Bakery & Dessert,Red Velvet Cupcake
Bakery,Bakery & Dessert,Sourdough Bread
Bakery,Bakery & Dessert,Sticky Bun
Bakery,Bakery & Dessert,Tart
Bakery,Bakery & Dessert,Vanilla Cake
Bakery,Bakery & Dessert,Vanilla Cupcake
Beverage,Hot & Cold Drinks,Aam Panna
Beverage,Hot & Cold Drinks,Americano
Beverage,Hot & Cold Drinks,Banana Milkshake
Beverage,Hot & Cold Drinks,Banana Smoothie
Beverage,Hot & Cold Drinks,Berry Smoothie
Beverage,Hot & Cold Drinks,Black Tea
Beverage,Hot & Cold Drinks,Buttermilk
Beverage,Hot & Cold Drinks,Cappuccino
Beverage,Hot & Cold Drinks,Chocolate Milkshake
Beverage,Hot & Cold Drinks,Coconut Water
Beverage,Hot & Cold Drinks,Coffee
Beverage,Hot & Cold Drinks,Cold Brew
Beverage,Hot & Cold Drinks,Cold Coffee
Beverage,Hot & Cold Drinks,Espresso
Beverage,Hot & Cold Drinks,Falooda
Beverage,Hot & Cold Drinks,Flat White
Beverage,Hot & Cold Drinks,Ginger Tea
Beverage,Hot & Cold Drinks,Green Smoothie
Beverage,Hot & Cold Drinks,Green Tea
Beverage,Hot & Cold Drinks,Hot Chocolate
Beverage,Hot & Cold Drinks,Iced Latte
Beverage,Hot & Cold Drinks,Iced Mocha
Beverage,Hot & Cold Drinks,Iced Tea
Beverage,Hot & Cold Drinks,Jaljeera
Beverage,Hot & Cold Drinks,Kokum Sharbat
Beverage,Hot & Cold Drinks,Lassi
Beverage,Hot & Cold Drinks,Latte
Beverage,Hot & Cold Drinks,Lemon Tea
Beverage,Hot & Cold Drinks,Lemonade
Beverage,Hot & Cold Drinks,Macchiato
Beverage,Hot & Cold Drinks,Mango Lassi
Beverage,Hot & Cold Drinks,Mango Milkshake
Beverage,Hot & Cold Drinks,Mango Shake
Beverage,Hot & Cold Drinks,Mango Smoothie
Beverage,Hot & Cold Drinks,Masala Chai
Beverage,Hot & Cold Drinks,Milkshake
Beverage,Hot & Cold Drinks,Mint Lemonade
Beverage,Hot & Cold Drinks,Mocha
Beverage,Hot & Cold Drinks,Nimbu Pani
Beverage,Hot & Cold Drinks,Oreo Milkshake
Beverage,Hot & Cold Drinks,Peach Iced Tea
Beverage,Hot & Cold Drinks,Rooh Afza
Beverage,Hot & Cold Drinks,Rose Milk
Beverage,Hot & Cold Drinks,Salted Lassi
Beverage,Hot & Cold Drinks,Smoothie
Beverage,Hot & Cold Drinks,Strawberry Milkshake
Beverage,Hot & Cold Drinks,Sugarcane Juice
Beverage,Hot & Cold Drinks,Sweet Lassi
Beverage,Hot & Cold Drinks,Tea
Beverage,Hot & Cold Drinks,Vanilla Milkshake
Breakfast,Breakfast,Acai Bowl
Breakfast,Breakfast,Aloo Paratha
